OID	LEFT_FID	RIGHT_FID	ORIG_FID	Puntos_x_m	Puntos_y_m	Punto_X_Km	Punto_Y_Km
-1	-1	0	0	703082,8103	9543336,096	703,0828103	9543,336096
-1	-1	0	0	702879,8525	9543342,571	702,8798525	9543,342571
-1	-1	0	0	702825,9097	9543339,114	702,8259097	9543,339114
-1	-1	0	0	702800,6814	9543322,573	702,8006814	9543,322573
-1	-1	0	0	702713,4316	9543250,898	702,7134316	9543,250898
-1	-1	0	0	702670,9673	9543229,022	702,6709673	9543,229022
-1	-1	0	0	702625,418	9543225,445	702,625418	9543,225445
-1	-1	0	0	702409,2605	9543218,326	702,4092605	9543,218326
-1	-1	0	0	702366,6724	9543225,591	702,3666724	9543,225591
-1	-1	0	0	702314,5173	9543228,782	702,3145173	9543,228782
-1	-1	0	0	702215,5459	9543246,383	702,2155459	9543,246383
-1	-1	0	0	702160,7476	9543251,745	702,1607476	9543,251745
-1	-1	0	0	702071,97	9543297,571	702,07197	9543,297571
-1	-1	0	0	702045,0776	9543313,877	702,0450776	9543,313877
-1	-1	0	0	702011,0002	9543331,432	702,0110002	9543,331432
-1	-1	0	0	701964,03	9543348,629	701,96403	9543,348629
-1	-1	0	0	701831,0955	9543397,177	701,8310955	9543,397177
-1	-1	0	0	701661,5266	9543479,387	701,6615266	9543,479387
-1	-1	0	0	701606,8264	9543498,817	701,6068264	9543,498817
-1	-1	0	0	701512,7351	9543544,467	701,5127351	9543,544467
-1	-1	0	0	701409,03	9543612,629	701,40903	9543,612629
-1	-1	0	0	701381,5474	9543628,212	701,3815474	9543,628212
-1	-1	0	0	701366,146	9543643,01	701,366146	9543,64301
-1	-1	0	0	701351,97	9543660,571	701,35197	9543,660571
-1	-1	0	0	701310,104	9543718,693	701,310104	9543,718693
-1	-1	0	0	701279,3972	9543745,177	701,2793972	9543,745177
-1	-1	0	0	701237,458	9543735,741	701,237458	9543,735741
-1	-1	0	0	701153,6938	9543734,033	701,1536938	9543,734033
-1	-1	0	0	701126,97	9543741,571	701,12697	9543,741571
-1	-1	0	0	701061,4958	9543761,847	701,0614959	9543,761847
-1	-1	0	0	701033,5737	9543767,566	701,0335737	9543,767566
-1	-1	0	0	700961,97	9543774,571	700,96197	9543,774571
-1	-1	0	0	700839,03	9543786,629	700,83903	9543,786629
